GBIF observations|gbif
EUNIS Feedback|feedback
We appologize for the inconvenience.<br />The EUNIS team.|generic_404_04
Accessibility statement|accessibility_statement
List of values|list_of_values
(Warning: Only the first 100 values are retrieved from the database)|warning_first_100_values
Clear temporary data|clear_temporary_data_btn
You do not have Administrator rights, which are required to perform this operation.<br />Please login as Administrator first.|generic_clear-temporary-data_01
The temporary data could not be deleted.|generic_clear-temporary-data_03
The temporary data has been deleted.|generic_clear-temporary-data_04
Total number of rows containing temporary data detected in the database:|generic_clear-temporary-data_05
<h1>Combined search</h1>Search information using multiple characteristics<br />|generic_combined-search-step2_01
Specify the search criteria:|specify_the_search_criteria
Step 2.|step_2
Species will be related to habitat types meeting the following criteria:|generic_combined-search-step2_03
Habitat types will be related to Sites meeting the following criteria:|generic_combined-search-step2_04
Sites will be related to Species meeting the following criteria:|generic_combined-search-step2_05
Add root criterion|add_root
Note: Combined search might take a long time|combined_search_might_take_long_time
Calculated search criteria expression:|calculated_criteria
Searching for: {0}...|searching_for
found: <strong>{0}</strong>|advanced_found
<br />&nbsp;&nbsp;(Only the first SQL_LIMIT results were retrieved - this can lead to partial,incomplete or no combined search results at all - you should refine the search criteria)|generic_combined-search-step2_13
Total matches found in database:|combined_total_matches
No results were found matching your combined criteria.|no_results
<h1>Combined search</h1>Search information using multiple characteristics|generic_combined-search-step3_01
Step 3.|combined_step_3
Species will be related to Sites meeting the following criteria:|generic_combined-search-step3_03
Habitat types will be related to Species meeting the following criteria:|generic_combined-search-step3_04
Sites will be related to Habitat types meeting the following criteria:|generic_combined-search-step3_05
Please specify the relation between Species, Habitat types and Sites:|combined_specify_relation
<br />&nbsp;&nbsp;(Only the first SQL_LIMIT results were retrieved - this can lead to partial,incomplete or no combined search results at all - you should refine this criteria)|generic_combined-search-step3_13
matching the combination of criteria were found.|generic_combined-search-step3_14
species matching the combination of criteria were found.|generic_combined-search-step3_15
No species matching the combination of criteria were found.|generic_combined-search-step3_16
habitat types matching the combination of criteria were found.|generic_combined-search-step3_17
No habitat types matching the combination of criteria were found.|generic_combined-search-step3_18
sites matching the combination of criteria were found.|generic_combined-search-step3_19
No sites matching the combination of criteria were found.|no_sites_found
No results were found.|no_results_found_1
<h1>Combined search</h1>Search information using multiple characteristics|generic_combined-search-step1_01
Step 1.|generic_combined-search-step1_04
Search for:|generic_combined-search-step1_05
matching the following criteria:|generic_combined-search-step1_11
&nbsp;saved search criteria|generic_combined-search-step1_95
<h1>Habitat types combined search results</h1><br />You searched for habitat types<br />|generic_combined-search-results-habitats_01
You searched habitat types using combined search criteria|generic_combined-search-results-habitats_02
 combination used:&nbsp;|generic_combined-search-results-habitats_03
, where:|generic_combined-search-results-habitats_04
Source data sets:|source_data_sets
Source data set|source_data_set
Combination type: |combination_type
 related to |related_to
Level|generic_index_07
EUNIS Code|eunis_code
ANNEX I Code|annex_code
Name|name
English name|english_name
<h1>Sites combined search results</h1><br />You searched for sites<br />|generic_combined-search-results-sites_01
You searched sites using combined search criteria|generic_combined-search-results-sites_02
 combination used: |generic_combined-search-results-sites_03
Results found|results_found_1
Site name|site_name
Designation type|designation_type
Country|country
Designation year|designation_year
Size|size
Length|length
Min. altitude|generic_combined-search-results-sites_18
Max. altitude|generic_combined-search-results-sites_19
Mean altiude|generic_combined-search-results-sites_20
Longitude|longitude
Latitude|latitude
<h1>Species combined search results</h1><br />Search details:<br />|generic_combined-search-results-species_01
You searched species using combined search criteria|generic_combined-search-results-species_02
combination used:|generic_combined-search-results-species_03
Group|group
Order|order_column
Family|family
Scientific name|scientific_name
Vernacular names|vernacular_names
Other Info|other_info
Save search criteria:|generic_save-search_01
Please enter few words to describe this criteria for later reference|generic_save-search_02
Remark:|generic_save-search_03
By leaving this field empty, a default description (based on your selections) will be associated with this criteria.|generic_save-search_04
Your search criteria was saved in database.|generic_save-search_05
Your search criterion wasn''t saved in database. Please try again!|generic_save-search_06
Author|author
Title|title
Publication date|publication_date
General information|general_information
Code|code_column
Geographical coverage|sites_designations-factsheet_06
Designation name in original language|sites_designations-factsheet_07
Designation name in English|sites_designations-factsheet_08
Designation name in French|sites_designations-factsheet_09
Designation abbreviation|sites_designations-factsheet_10
CDDA sites|sites_designations-factsheet_11
Area reference (ha)|sites_designations-factsheet_12
Total area(ha)|total_area_ha
National information|sites_designations-factsheet_14
National Law|sites_designations-factsheet_15
National Category|sites_designations-factsheet_16
Reference for National Law|sites_designations-factsheet_17
National Law Agency|sites_designations-factsheet_18
Number of reference|sites_designations-factsheet_21
Reference date|sites_designations-factsheet_22
Remark|sites_designations-factsheet_23
Source remark|sites_designations-factsheet_24
Related sites for this designation|sites_designations-factsheet_25
Site code (in source data set)|sites_designations-factsheet_28
This designation has not related sites.|sites_designations-factsheet_30
Show sites for this designation type|sites_designations-factsheet_31
Warning: This might take a long time.|sites_designations-factsheet_32
The requested designation does not exists. |sites_designations-factsheet_33
References|references
Source|source
Designation references|designation_factsheet_references
Author:|designation_factsheet_author
Editor:|designation_factsheet_editor
Date:|designation_factsheet_date
Title:|designation_factsheet_title
Publisher:|designation_factsheet_publisher
EUNIS Database DiGIR Provider Statistics|digir_01
Statistical data regarding the EUNIS DiGIR Provider:|digir_03
Total rows:|digir_total_rows
Distinct Species:|digir_distinct_species
Species with country:|digir_species_country
Species with lat./long.:|digir_species_latlong
Species from habitat types:|digir_species_habitats
Species from sites:|digir_species_sites
Last update:|digir_last_update
The statistics are not available. Please try later.|digir_statistics_are_not_available
Provider URL:|digir_provider_url
Provider endpoint:|digir_provider_endpoint
Institution code:|digir_institution_code
Collection code:|digir_collection_code
Other information:|digir_other_information
Download EUNIS Database|generic_download-database_01
Download zipped .mdb (Microsoft Access) file|generic_download-database_02
No results found for this search|noresults_search
No results found for refine search|noresults_refine
<br /><br />The input rules were probably too restrictive, please try a more generic approach.<br /><br />Please go|noresults_explanation
and review the search criteria|noresults_review_search_criteria
Back|back
Thank you!|thank_you
Your feedback has been sent to EUNIS.|generic_feedback_02
Email content:|generic_feedback_03
Captcha Verification Failed|captcha_verification_failed
User Feedback|generic_feedback_04
<strong>Dear visitor,</strong> in order to improve EUNIS Database we welcome your comments and suggestions.|generic_feedback_05
Type of feedback:|generic_feedback_06
URL:|feedback_url
Comments:|generic_feedback_18
The following section is optional, but necessary if you would like a response from us.<br />|generic_feedback_20
Name:|generic_feedback_21
Email address:|generic_feedback_22
Organization:|generic_feedback_23
Telephone:|generic_feedback_25
